Employee ID,Gender,Ethnicity,Employment Status,Employee Type,Business Function,Job Level,Base Pay,Country Name,Job Designation,Performance Rating,Job Name
300000,Male,Black,Full-Time,Regular Employee,Legal,E6,"$60,741.81",JP,In_Office,Significant Impact,Paralegal
300001,Non-Binary,Black,Full-Time,Regular Employee,Marketing,P6,"$73,443.77",HU,Remote,Significant Impact,Marketing Specialist
300002,Female,Hispanic,Contract,Regular Fixed Term,Technology,E6,"$38,075.12",MX,In_Office,More Impact Needed,Cybersecurity Analyst
300003,Female,Other,Full-Time,Contingent Worker,Finance,E3,"$85,733.41",BR,In_Office,Significant Impact,Finance Manager
300004,Male,White,Full-Time,Regular Employee,Marketing,S1,"$76,387.56",PT,Hybrid,More Impact Needed,SEO Analyst
300005,Male,Black,Contract,Regular Fixed Term,Sales,M3,"$72,652.13",FR,Remote,More Impact Needed,Account Executive
300006,Male,White,Full-Time,Regular Employee,Engineering,M6,"$97,755.61",UY,Remote,Significant Impact,Software Engineer
300007,Female,Asian,Full-Time,Regular Employee,Marketing,E3,"$86,898.54",NL,Remote,Transformative Impact,Brand Manager
300008,Female,Asian,Part-Time,Regular Employee,People,E3,"$77,552.41",IT,Hybrid,Transformative Impact,HR Business Partner
300009,Female,Other,Contract,Regular Employee,Technology,E1,"$88,071.81",EG,In_Office,Transformative Impact,Cybersecurity Analyst
300010,Male,Black,Full-Time,Regular Employee,Legal,P2,"$62,547.40",BR,Hybrid,Significant Impact,Legal Counsel
300011,Non-Binary,Hispanic,Part-Time,Regular Employee,People,M5,"$86,868.87",CR,Hybrid,Significant Impact,Recruiter
300012,Female,Black,Full-Time,Regular Employee,People,M1,"$91,419.45",CL,In_Office,Significant Impact,Recruiter
300013,Male,White,Full-Time,Regular Employee,People,M6,"$30,000.00",PL,Hybrid,Significant Impact,HR Business Partner
300014,Male,Asian,Contract,Regular Employee,Sales,M3,"$110,398.46",CL,Hybrid,Significant Impact,Account Executive
300015,Male,White,Contract,Regular Employee,Sales,S1,"$81,681.89",AU,Remote,More Impact Needed,Account Executive
300016,Male,Other,Full-Time,Regular Employee,Marketing,M6,"$87,212.12",IN,Remote,Significant Impact,SEO Analyst
300017,Female,Asian,Full-Time,Regular Employee,Technology,M1,"$96,660.19",IE,Hybrid,More Impact Needed,Cybersecurity Analyst
300018,Male,Hispanic,Full-Time,Regular Employee,Finance,P1,"$72,264.52",JP,Hybrid,More Impact Needed,Accountant
300019,Male,Asian,Full-Time,Regular Employee,Technology,P7,"$66,675.81",DE,Remote,Significant Impact,Cybersecurity Analyst
300020,Female,Black,Full-Time,Regular Employee,Legal,E3,"$80,995.32",US,Remote,Significant Impact,Legal Counsel
300021,Male,Black,Full-Time,Contingent Worker,Marketing,P2,"$130,187.42",SG,In_Office,Transformative Impact,SEO Analyst
300022,Male,Asian,Full-Time,Regular Employee,People,E5,"$72,988.64",PH,Hybrid,Transformative Impact,Recruiter
300023,Male,Other,Full-Time,Regular Employee,Marketing,M4,"$62,185.61",IE,Hybrid,Significant Impact,Brand Manager
300024,Female,Black,Full-Time,Regular Fixed Term,Technology,P5,"$101,842.18",PL,Remote,Transformative Impact,Cybersecurity Analyst
300025,Female,Black,Part-Time,Regular Employee,Engineering,P1,"$33,260.41",US,Remote,Significant Impact,Software Engineer
300026,Male,Hispanic,Full-Time,Regular Employee,Marketing,S2,"$72,813.78",PT,Remote,Significant Impact,SEO Analyst
300027,Female,Asian,Full-Time,Regular Fixed Term,Technology,M2,"$62,283.29",US,Remote,More Impact Needed,IT Support Specialist
300028,Female,Black,Part-Time,Regular Employee,Marketing,P1,"$87,577.82",PT,Hybrid,More Impact Needed,Marketing Specialist
300029,Male,Other,Part-Time,Regular Employee,Technology,M3,"$77,724.54",US,Hybrid,More Impact Needed,IT Support Specialist
300030,Female,White,Full-Time,Regular Employee,People,S3,"$52,996.05",HU,Hybrid,More Impact Needed,HR Manager
300031,Male,Asian,Full-Time,Regular Employee,Marketing,P4,"$87,943.00",HU,Hybrid,More Impact Needed,Marketing Specialist
300032,Male,Hispanic,Part-Time,Regular Employee,Legal,E2,"$58,587.76",PH,Remote,More Impact Needed,Legal Counsel
300033,Non-Binary,Black,Full-Time,Regular Employee,People,M6,"$74,051.93",FR,Remote,Significant Impact,Recruiter
300034,Non-Binary,Other,Part-Time,Regular Employee,Sales,S3,"$66,457.14",BR,Hybrid,Significant Impact,Sales Associate
300035,Female,Asian,Full-Time,Regular Fixed Term,Sales,E6,"$91,291.58",IN,In_Office,Significant Impact,Sales Associate
300036,Male,Other,Full-Time,Regular Fixed Term,Marketing,S5,"$65,823.30",NL,In_Office,Significant Impact,Brand Manager
300037,Male,Other,Full-Time,Regular Employee,Marketing,M1,"$30,000.00",PL,Hybrid,Significant Impact,Marketing Specialist
300038,Female,Hispanic,Part-Time,Regular Employee,Legal,S1,"$52,695.33",CL,Remote,Significant Impact,Compliance Officer
300039,Male,Asian,Contract,Regular Employee,Technology,P3,"$76,263.53",PL,In_Office,Significant Impact,IT Support Specialist
300040,Male,Black,Full-Time,Regular Employee,Technology,M2,"$61,807.84",IL,In_Office,Transformative Impact,Cloud Engineer
